uni_name,degree,decision,ugrad_gpa,gre_verbal,gre_quant,gre_writing,status
Stanford University,PhD,False,3.55,157.0,163.0,4.0,International
Stanford University,MS,False,3.69,160.0,164.0,5.0,American
Stanford University,MS,False,3.71,153.0,166.0,4.0,International
Stanford University,MS,False,3.8,157.0,167.0,3.0,International with US Degree
Stanford University,MS,False,3.36,152.0,168.0,3.5,International
Stanford University,MS,True,3.75,157.0,152.0,4.5,American
Stanford University,MS,False,3.0,158.0,163.0,3.0,International
Stanford University,MS,True,3.85,166.0,164.0,4.5,American
Stanford University,PhD,False,3.75,161.0,162.0,4.5,American
Stanford University,MS,False,3.0,166.0,167.0,4.0,International
Stanford University,PhD,False,3.98,164.0,161.0,6.0,American
Stanford University,PhD,False,3.85,158.0,161.0,4.5,International with US Degree
Stanford University,MS,False,3.93,155.0,170.0,4.5,International
Stanford University,MS,False,3.7,164.0,167.0,4.0,American
Stanford University,MS,True,3.51,147.0,153.0,3.5,American
Stanford University,MS,False,3.6,160.0,166.0,4.5,International
Stanford University,MS,True,3.63,160.0,161.0,4.0,International with US Degree
Stanford University,MS,False,3.8,158.0,167.0,3.5,International with US Degree
Stanford University,MS,False,3.31,160.0,162.0,4.0,International
Stanford University,MS,False,3.97,154.0,170.0,4.0,International
Stanford University,MS,False,3.0,151.0,170.0,4.0,International
Stanford University,MS,True,3.86,155.0,169.0,4.5,International with US Degree
Stanford University,MS,False,3.76,162.0,170.0,4.5,American
Stanford University,MS,False,3.95,163.0,163.0,4.0,International
Stanford University,MS,False,3.9,163.0,167.0,4.5,International
Stanford University,MS,False,3.84,157.0,169.0,4.0,International
Stanford University,MS,False,3.56,152.0,169.0,4.0,International
Stanford University,MS,True,3.92,164.0,164.0,5.5,American
Stanford University,MS,False,3.97,150.0,168.0,4.5,International
Stanford University,MS,False,3.5,150.0,170.0,3.0,International
Stanford University,MS,False,3.63,166.0,161.0,4.0,American
Stanford University,MS,False,3.88,157.0,168.0,4.0,International
Stanford University,MS,True,3.84,163.0,170.0,3.5,International with US Degree
Stanford University,MS,False,3.8,170.0,159.0,4.5,International with US Degree
Stanford University,MS,True,3.99,166.0,168.0,4.5,International
Stanford University,MS,True,3.91,166.0,168.0,4.5,American
Stanford University,MS,False,3.9,158.0,170.0,4.0,International with US Degree
Stanford University,PhD,True,3.75,169.0,168.0,5.0,American
Stanford University,PhD,True,3.55,161.0,168.0,5.0,American
Stanford University,PhD,True,3.8,163.0,163.0,4.5,American
Stanford University,PhD,True,3.89,161.0,163.0,5.0,American
Stanford University,PhD,False,3.7,167.0,164.0,4.5,American
Stanford University,PhD,False,3.7,156.0,170.0,4.0,International with US Degree
Stanford University,PhD,True,3.95,157.0,161.0,4.0,International with US Degree
Stanford University,PhD,False,3.74,169.0,169.0,5.0,American
Stanford University,MS,False,3.99,163.0,170.0,4.0,International
Stanford University,MS,False,4.0,163.0,170.0,4.0,International with US Degree
Stanford University,PhD,False,3.88,167.0,159.0,4.0,American
Stanford University,PhD,True,3.73,166.0,168.0,5.5,American
Stanford University,MS,False,3.89,159.0,155.0,4.0,International
Stanford University,MS,True,3.78,162.0,167.0,4.0,American
Stanford University,MS,False,3.88,161.0,159.0,6.0,American
Stanford University,MS,True,3.89,158.0,166.0,4.5,International
Stanford University,PhD,True,3.95,159.0,165.0,5.5,American
Stanford University,MS,False,3.85,168.0,168.0,4.0,International
Stanford University,MS,True,3.91,164.0,166.0,4.5,American
Stanford University,MS,True,3.83,165.0,169.0,4.5,American
Stanford University,PhD,False,4.0,163.0,165.0,5.0,American
Stanford University,MS,True,3.83,157.0,163.0,5.5,American
Stanford University,PhD,False,3.71,152.0,149.0,4.0,American
Stanford University,PhD,False,3.2,159.0,164.0,4.0,American
Stanford University,MS,True,3.88,161.0,167.0,4.5,American
Stanford University,MS,True,3.94,170.0,159.0,4.0,International with US Degree
Stanford University,MS,True,3.8,164.0,167.0,4.5,International
Stanford University,MS,False,3.67,160.0,166.0,4.5,International with US Degree
Stanford University,PhD,False,3.59,166.0,170.0,5.5,American
Stanford University,MS,False,3.57,170.0,170.0,5.0,American
Stanford University,MS,True,3.98,168.0,168.0,5.0,International with US Degree
Stanford University,MS,False,3.82,156.0,165.0,5.5,International
Stanford University,MS,True,4.0,162.0,166.0,4.5,International with US Degree
Stanford University,MS,True,3.68,164.0,167.0,5.0,American
Stanford University,MS,False,3.83,161.0,168.0,4.5,International
Stanford University,MS,True,3.6,163.0,163.0,4.5,American
Stanford University,PhD,False,3.94,163.0,168.0,4.0,American
Stanford University,PhD,False,4.0,170.0,170.0,5.0,American
Stanford University,MS,False,3.4,153.0,160.0,4.0,International
Stanford University,MS,False,3.83,145.0,145.0,4.0,American
Stanford University,MS,True,3.63,168.0,164.0,5.5,American
Stanford University,MS,True,3.7,165.0,168.0,3.0,International
Stanford University,PhD,False,3.82,151.0,170.0,4.0,International with US Degree
Stanford University,PhD,False,4.0,153.0,170.0,3.5,International with US Degree
Stanford University,PhD,False,3.9,147.0,167.0,4.0,American
Stanford University,MS,True,3.79,157.0,168.0,4.5,American
Stanford University,MS,True,3.99,163.0,161.0,5.0,American
Stanford University,MS,False,3.96,161.0,165.0,3.5,International
Stanford University,MS,False,3.27,170.0,146.0,3.0,International
Stanford University,MS,False,3.62,159.0,155.0,4.5,American
Stanford University,MS,False,3.86,150.0,170.0,3.5,International
Stanford University,MS,True,3.92,162.0,170.0,4.5,International with US Degree
Stanford University,PhD,False,4.0,148.0,170.0,3.0,International
Stanford University,PhD,False,3.98,167.0,166.0,5.0,International
Stanford University,MS,False,3.7,158.0,170.0,3.5,International
Stanford University,PhD,False,3.8,157.0,168.0,4.0,International with US Degree
Stanford University,PhD,False,3.89,143.0,170.0,3.5,International
Stanford University,PhD,False,3.75,160.0,170.0,4.5,International with US Degree
Stanford University,MS,True,3.65,162.0,162.0,5.5,American
Stanford University,PhD,False,3.8,168.0,170.0,5.0,American
Stanford University,PhD,True,3.91,160.0,168.0,3.5,International with US Degree
Stanford University,MS,True,3.68,161.0,170.0,4.0,International with US Degree
Stanford University,PhD,False,3.9,163.0,143.0,4.0,American
Stanford University,PhD,False,3.98,167.0,170.0,5.5,International
Stanford University,PhD,False,3.79,161.0,167.0,4.5,American
Stanford University,MS,True,3.85,162.0,170.0,4.0,International
Stanford University,MS,True,3.91,159.0,170.0,4.0,International with US Degree
Stanford University,MS,True,3.84,165.0,165.0,4.0,American
Stanford University,MS,True,3.75,159.0,169.0,5.5,International with US Degree
Stanford University,MS,True,3.96,170.0,160.0,6.0,American
Stanford University,PhD,False,3.94,155.0,168.0,4.5,International
Stanford University,PhD,False,3.6,164.0,167.0,4.5,International
Stanford University,PhD,False,3.44,160.0,163.0,4.5,International
Stanford University,PhD,False,3.7,155.0,168.0,3.5,International
Stanford University,PhD,False,3.88,166.0,168.0,3.5,International with US Degree
Stanford University,PhD,False,3.8,161.0,160.0,4.0,American
Stanford University,PhD,False,3.96,170.0,168.0,4.0,American
Stanford University,PhD,False,3.97,154.0,170.0,3.5,International
Stanford University,PhD,False,3.86,160.0,170.0,5.5,American
Stanford University,PhD,False,3.64,163.0,164.0,4.5,American
Stanford University,PhD,False,3.5,159.0,164.0,4.0,American
Stanford University,PhD,False,3.86,167.0,165.0,4.0,American
Stanford University,PhD,False,3.88,162.0,165.0,4.0,American
Stanford University,PhD,False,3.98,165.0,170.0,5.0,American
Stanford University,PhD,False,3.75,155.0,156.0,4.0,American
Stanford University,PhD,True,4.0,167.0,170.0,5.5,International
Stanford University,PhD,False,3.9,160.0,167.0,3.5,International with US Degree
Stanford University,PhD,False,2.95,152.0,163.0,3.0,International
Stanford University,PhD,False,3.89,169.0,170.0,5.5,American
Stanford University,PhD,False,3.92,168.0,146.0,5.0,American
Stanford University,PhD,True,4.0,158.0,168.0,4.0,International
Stanford University,PhD,False,2.54,163.0,159.0,4.5,American
Stanford University,PhD,False,3.83,163.0,168.0,4.0,International
Stanford University,PhD,False,3.67,159.0,157.0,4.0,American
Stanford University,PhD,False,3.93,152.0,166.0,3.5,American
Stanford University,PhD,False,3.67,160.0,166.0,4.5,International with US Degree
Stanford University,PhD,False,3.8,153.0,170.0,3.5,American
Stanford University,PhD,False,3.5,164.0,139.0,4.0,American
Stanford University,PhD,False,3.71,157.0,161.0,4.0,International with US Degree
Stanford University,PhD,False,3.1,170.0,168.0,4.5,American
Stanford University,PhD,False,3.41,141.0,151.0,3.0,International with US Degree
Stanford University,PhD,True,4.0,170.0,170.0,6.0,American
Stanford University,PhD,False,3.7,152.0,170.0,3.0,International with US Degree
Stanford University,PhD,False,3.27,165.0,166.0,5.5,International
Stanford University,PhD,False,3.7,170.0,170.0,5.0,International
Stanford University,PhD,False,4.0,165.0,162.0,5.0,International
Stanford University,PhD,False,3.96,168.0,170.0,5.0,International
Stanford University,PhD,False,3.8,170.0,170.0,5.5,American
Stanford University,PhD,False,4.0,150.0,167.0,4.0,International with US Degree
Stanford University,PhD,False,3.9,164.0,166.0,4.0,International with US Degree
Stanford University,PhD,False,3.46,145.0,154.0,3.5,International
Stanford University,PhD,False,3.85,152.0,169.0,3.0,International
Stanford University,PhD,False,3.84,151.0,161.0,3.0,International with US Degree
Stanford University,PhD,False,3.94,145.0,170.0,3.0,International
Stanford University,PhD,True,4.0,170.0,153.0,4.0,International
Stanford University,PhD,False,4.0,152.0,170.0,4.0,International with US Degree
Stanford University,PhD,True,3.1,160.0,160.0,4.5,International
Stanford University,PhD,False,4.0,160.0,165.0,3.5,International with US Degree
Stanford University,PhD,False,3.92,170.0,153.0,3.0,International with US Degree
Stanford University,MS,False,3.94,161.0,164.0,3.0,International with US Degree
Stanford University,PhD,False,3.8,158.0,165.0,4.5,International
Stanford University,PhD,False,3.7,160.0,168.0,4.5,American
Stanford University,PhD,False,3.94,167.0,170.0,4.0,American
Stanford University,PhD,False,3.4,168.0,166.0,6.0,American
Stanford University,PhD,False,3.47,169.0,167.0,5.5,American
Stanford University,PhD,False,3.75,158.0,169.0,5.0,American
Stanford University,PhD,True,3.97,148.0,170.0,3.0,International
Stanford University,PhD,False,3.79,152.0,170.0,4.0,International with US Degree
Stanford University,PhD,False,3.58,154.0,164.0,3.5,American
Stanford University,PhD,True,3.92,150.0,158.0,4.5,American
Stanford University,PhD,False,3.86,154.0,157.0,4.0,American
Stanford University,PhD,True,3.82,159.0,169.0,3.5,International
Stanford University,PhD,True,3.9,160.0,170.0,5.5,American
Stanford University,PhD,True,3.98,170.0,170.0,5.0,American
Stanford University,PhD,True,3.82,148.0,167.0,4.0,International
Stanford University,PhD,False,3.58,162.0,170.0,4.0,American
Stanford University,PhD,True,3.91,158.0,170.0,3.0,International with US Degree
Stanford University,MS,True,3.95,170.0,167.0,5.5,International
Stanford University,PhD,True,3.9,163.0,168.0,4.0,American
Stanford University,PhD,False,3.51,167.0,165.0,4.0,International with US Degree
Stanford University,PhD,False,3.83,170.0,155.0,5.0,American
Stanford University,PhD,False,3.98,165.0,169.0,5.5,American
Stanford University,PhD,False,3.71,170.0,157.0,3.5,International
Stanford University,PhD,False,3.8,149.0,170.0,3.5,International
Stanford University,MS,False,3.5,153.0,170.0,3.5,International
Stanford University,MS,True,3.64,162.0,168.0,5.5,American
Stanford University,PhD,False,3.92,166.0,165.0,6.0,American
Stanford University,PhD,False,3.76,149.0,170.0,3.0,International with US Degree
Stanford University,PhD,False,3.4,158.0,157.0,5.5,American
Stanford University,PhD,False,3.95,165.0,170.0,4.5,International with US Degree
Stanford University,PhD,False,3.64,158.0,170.0,3.5,International
Stanford University,PhD,True,3.98,168.0,167.0,5.5,International
Stanford University,PhD,False,3.83,156.0,168.0,3.5,International
Stanford University,PhD,False,3.87,151.0,167.0,3.0,International
Stanford University,PhD,False,3.77,167.0,170.0,4.0,International with US Degree
Stanford University,PhD,True,3.92,159.0,166.0,4.5,International with US Degree
Stanford University,PhD,False,3.4,169.0,163.0,5.0,American
Stanford University,PhD,False,3.9,170.0,160.0,5.5,American
Stanford University,PhD,True,3.6,163.0,159.0,5.5,American
Stanford University,MS,False,3.9,161.0,163.0,4.0,International
Stanford University,PhD,True,3.95,158.0,163.0,4.5,American
Stanford University,PhD,False,3.5,170.0,169.0,5.5,American
Stanford University,PhD,False,3.85,170.0,170.0,5.0,American
Stanford University,PhD,True,3.91,167.0,168.0,5.5,American
Stanford University,PhD,True,3.71,162.0,164.0,4.5,American
Stanford University,PhD,False,3.0,145.0,160.0,3.0,International
Stanford University,MS,True,3.99,157.0,168.0,4.0,International
Stanford University,MS,True,3.43,169.0,170.0,6.0,American
Stanford University,PhD,False,4.0,148.0,170.0,3.5,International with US Degree
Stanford University,PhD,False,4.0,148.0,170.0,3.5,International with US Degree
Stanford University,MS,False,3.86,159.0,168.0,4.0,International
Stanford University,PhD,False,3.88,160.0,170.0,4.0,International
Stanford University,MS,False,3.95,142.0,169.0,2.5,International with US Degree
Stanford University,PhD,True,3.7,166.0,166.0,5.0,American
Stanford University,MS,False,4.0,162.0,161.0,4.0,International
Stanford University,MS,False,3.66,149.0,170.0,3.5,International
Stanford University,MS,True,3.97,170.0,159.0,4.5,International with US Degree
Stanford University,MS,False,3.28,159.0,170.0,4.0,American
Stanford University,MS,False,3.33,157.0,160.0,4.5,American
Stanford University,MS,False,4.0,156.0,164.0,4.0,International
Stanford University,MS,False,3.86,170.0,164.0,4.5,American
Stanford University,PhD,True,3.9,166.0,156.0,4.0,International with US Degree
Stanford University,MS,False,3.9,162.0,166.0,4.5,International
Stanford University,MBA,False,4.0,165.0,160.0,5.5,International
Stanford University,MS,False,3.51,162.0,167.0,4.5,American
Stanford University,MS,False,4.0,162.0,164.0,4.5,International
Stanford University,PhD,False,3.9,140.0,169.0,3.0,International
Stanford University,MS,True,3.9,166.0,170.0,5.0,American
Stanford University,MS,False,3.6,162.0,164.0,5.0,American
Stanford University,MS,True,3.82,153.0,162.0,3.5,American
Stanford University,MS,True,3.66,166.0,169.0,4.5,American
Stanford University,MS,False,3.85,158.0,170.0,4.0,International
Stanford University,MS,True,4.0,163.0,164.0,5.5,American
Stanford University,MS,False,3.5,134.0,163.0,3.0,American
Stanford University,MS,True,3.83,160.0,170.0,5.0,American
Stanford University,MS,False,3.73,162.0,170.0,5.0,American
Stanford University,MS,True,3.6,149.0,170.0,3.0,International
Stanford University,MS,False,3.8,163.0,170.0,4.0,International
Stanford University,MS,False,3.8,153.0,167.0,3.5,International
Stanford University,MS,False,3.8,153.0,163.0,4.0,International with US Degree
Stanford University,PhD,False,3.6,164.0,159.0,3.0,International with US Degree
Stanford University,MS,False,3.7,161.0,167.0,4.5,International
Stanford University,MS,True,3.7,168.0,166.0,4.5,International
Stanford University,PhD,False,3.71,170.0,166.0,5.0,American
Stanford University,PhD,True,3.9,157.0,170.0,4.0,International
Stanford University,PhD,False,3.79,163.0,168.0,3.5,American
Stanford University,PhD,False,3.93,161.0,170.0,4.0,American
Stanford University,PhD,False,3.29,167.0,167.0,4.0,American
Stanford University,MS,True,3.4,159.0,170.0,5.0,International
Stanford University,MS,False,3.89,163.0,166.0,4.0,International
Stanford University,PhD,False,3.88,167.0,165.0,5.5,American
Stanford University,PhD,False,4.0,166.0,168.0,5.5,American
Stanford University,PhD,False,3.88,169.0,161.0,4.5,American
Stanford University,PhD,True,3.73,167.0,159.0,4.5,American
Stanford University,MS,False,3.65,168.0,157.0,4.0,International
Stanford University,MS,True,4.0,169.0,170.0,5.0,American
Stanford University,MS,False,3.98,160.0,162.0,5.0,American
Stanford University,MS,True,3.75,164.0,166.0,5.0,American
Stanford University,MS,False,3.3,163.0,162.0,5.0,American
Stanford University,MS,True,3.8,142.0,170.0,2.5,International
Stanford University,MS,True,3.89,167.0,164.0,5.5,American
Stanford University,MS,True,3.9,156.0,160.0,4.5,International
Stanford University,MS,True,3.98,168.0,164.0,5.0,American
Stanford University,MS,True,3.6,166.0,169.0,4.0,International
Stanford University,MS,True,3.78,167.0,159.0,5.0,International with US Degree
Stanford University,PhD,False,3.73,167.0,168.0,5.0,American
Stanford University,PhD,False,3.68,157.0,169.0,5.0,International with US Degree
Stanford University,PhD,True,3.8,170.0,170.0,5.5,American
Stanford University,MS,False,3.6,150.0,170.0,3.5,International
Stanford University,MS,True,3.91,159.0,167.0,4.0,International
Stanford University,MS,True,3.91,159.0,167.0,4.0,International with US Degree
Stanford University,PhD,False,3.73,150.0,153.0,4.0,American
Stanford University,PhD,True,4.0,156.0,167.0,4.0,International
Stanford University,MS,True,3.97,160.0,165.0,4.5,American
Stanford University,MS,True,3.83,157.0,170.0,4.0,International with US Degree
Stanford University,PhD,False,3.63,161.0,165.0,4.5,International
Stanford University,PhD,True,3.69,158.0,170.0,4.5,International
Stanford University,PhD,True,4.0,164.0,170.0,4.0,American
Stanford University,PhD,False,3.85,167.0,170.0,4.0,American
Stanford University,MS,True,4.0,161.0,168.0,4.5,International
Stanford University,PhD,True,4.0,161.0,170.0,3.5,International with US Degree
Stanford University,PhD,False,3.73,169.0,152.0,3.5,International
Stanford University,PhD,True,3.8,156.0,170.0,4.5,American
Stanford University,PhD,False,3.95,166.0,170.0,5.0,American
Stanford University,PhD,True,3.9,164.0,168.0,4.0,American
Stanford University,PhD,False,3.8,163.0,165.0,5.0,International
Stanford University,PhD,False,3.49,164.0,166.0,4.0,American
Stanford University,PhD,True,3.99,167.0,163.0,4.0,American
Stanford University,PhD,False,3.65,156.0,150.0,5.0,American
Stanford University,PhD,False,3.85,156.0,158.0,5.0,International
Stanford University,PhD,False,3.77,162.0,156.0,4.5,American
Stanford University,PhD,False,3.93,167.0,161.0,5.5,American
Stanford University,PhD,False,4.0,167.0,154.0,5.0,International with US Degree
Stanford University,PhD,False,3.6,167.0,158.0,5.0,International with US Degree
Stanford University,PhD,False,3.6,144.0,170.0,3.0,International
Stanford University,MS,True,3.91,164.0,167.0,4.0,American
Stanford University,PhD,False,3.99,168.0,164.0,5.5,American
Stanford University,PhD,False,3.31,169.0,168.0,5.0,American
Stanford University,PhD,False,4.0,170.0,162.0,6.0,International
Stanford University,PhD,False,3.4,163.0,170.0,5.0,International with US Degree
Stanford University,MS,False,3.93,152.0,158.0,4.0,International
Stanford University,PhD,False,3.94,159.0,168.0,3.5,International
Stanford University,PhD,True,3.9,170.0,168.0,6.0,American
Stanford University,MS,False,3.61,159.0,170.0,4.0,International with US Degree
Stanford University,PhD,True,3.85,165.0,162.0,5.5,American
Stanford University,MS,False,4.0,154.0,170.0,4.0,International
Stanford University,PhD,False,3.78,165.0,167.0,4.5,American
Stanford University,MS,False,3.89,155.0,170.0,3.5,American
Stanford University,PhD,False,3.86,168.0,158.0,3.0,International
Stanford University,MS,False,3.93,157.0,169.0,4.0,International
Stanford University,PhD,False,3.84,166.0,170.0,4.5,American
Stanford University,MS,True,3.97,154.0,170.0,4.0,International
Stanford University,PhD,False,3.68,165.0,165.0,4.5,American
Stanford University,MS,True,3.75,153.0,166.0,4.0,International
Stanford University,PhD,False,3.7,167.0,163.0,5.0,American
Stanford University,PhD,True,4.0,162.0,169.0,4.5,American
Stanford University,MS,False,3.95,155.0,164.0,3.0,International
Stanford University,PhD,True,3.8,159.0,170.0,4.0,International
Stanford University,PhD,True,3.74,163.0,166.0,5.5,American
Stanford University,PhD,False,3.85,161.0,162.0,5.5,American
Stanford University,PhD,False,3.83,167.0,160.0,5.0,American
Stanford University,PhD,False,3.8,152.0,166.0,3.0,International
Stanford University,PhD,False,3.92,155.0,155.0,4.5,American
Stanford University,MS,True,3.87,155.0,170.0,4.0,International with US Degree
Stanford University,PhD,False,3.8,166.0,167.0,4.0,American
Stanford University,PhD,False,3.93,154.0,166.0,4.0,International
Stanford University,PhD,False,4.0,161.0,163.0,4.0,International
Stanford University,PhD,True,3.99,162.0,167.0,5.0,American
Stanford University,PhD,False,4.0,154.0,164.0,4.0,International
Stanford University,PhD,False,3.9,167.0,170.0,4.0,American
Stanford University,PhD,False,3.5,158.0,163.0,4.0,International
Stanford University,PhD,False,3.86,154.0,165.0,3.5,International
Stanford University,PhD,False,3.73,168.0,153.0,4.0,International
Stanford University,PhD,False,3.76,164.0,170.0,3.5,International
Stanford University,PhD,False,3.32,157.0,170.0,4.0,American
Stanford University,PhD,False,3.0,146.0,170.0,4.0,International
Stanford University,PhD,False,3.56,165.0,164.0,4.0,American
Stanford University,PhD,False,3.81,157.0,164.0,4.5,American
Stanford University,PhD,False,3.63,169.0,159.0,6.0,American
Stanford University,PhD,True,3.88,157.0,170.0,4.0,International
Stanford University,PhD,True,4.0,168.0,170.0,5.0,American
Stanford University,MS,True,3.8,157.0,150.0,3.5,International
Stanford University,PhD,False,3.41,154.0,165.0,3.5,International
Stanford University,PhD,False,3.76,161.0,170.0,3.5,International
Stanford University,PhD,False,3.97,153.0,168.0,4.0,International
Stanford University,PhD,False,3.6,160.0,170.0,3.5,International
Stanford University,PhD,False,3.67,163.0,164.0,4.0,American
Stanford University,PhD,True,3.82,152.0,166.0,4.0,American
Stanford University,PhD,False,3.4,161.0,160.0,3.5,International
Stanford University,PhD,False,3.69,161.0,164.0,5.5,American
Stanford University,PhD,True,3.92,157.0,164.0,5.0,American
Stanford University,PhD,False,3.56,164.0,165.0,4.0,International
Stanford University,PhD,False,3.9,154.0,164.0,4.5,International
Stanford University,PhD,False,3.9,156.0,170.0,4.0,American
Stanford University,Other,False,3.32,160.0,157.0,4.0,International
Stanford University,PhD,False,3.85,159.0,170.0,4.0,International
Stanford University,PhD,True,3.94,166.0,164.0,5.5,American
Stanford University,PhD,True,3.99,161.0,170.0,5.5,American
Stanford University,PhD,True,4.0,160.0,168.0,5.0,American
Stanford University,PhD,True,3.9,157.0,170.0,5.0,American
Stanford University,PhD,False,3.52,152.0,168.0,3.0,International
Stanford University,PhD,False,3.91,165.0,162.0,5.0,American
Stanford University,PhD,False,3.75,152.0,170.0,3.0,International
Stanford University,PhD,False,3.61,156.0,168.0,4.0,American
Stanford University,PhD,False,3.99,165.0,170.0,4.5,International with US Degree
Stanford University,PhD,False,3.2,164.0,158.0,5.5,American
Stanford University,PhD,True,3.84,169.0,166.0,4.5,American
Stanford University,PhD,False,3.56,164.0,164.0,5.5,American
Stanford University,PhD,True,3.5,161.0,165.0,5.0,American
Stanford University,MS,True,3.87,163.0,167.0,5.5,American
Stanford University,PhD,True,4.0,170.0,170.0,5.0,American
Stanford University,MS,True,3.91,169.0,164.0,4.5,International with US Degree
Stanford University,PhD,True,3.94,161.0,167.0,4.0,American
Stanford University,PhD,True,3.73,164.0,170.0,5.0,American
Stanford University,PhD,False,3.5,164.0,157.0,4.0,American
Stanford University,PhD,True,3.94,169.0,170.0,5.5,American
Stanford University,MS,True,3.5,162.0,170.0,4.5,International
Stanford University,PhD,True,3.9,161.0,167.0,3.5,International
Stanford University,PhD,True,3.7,159.0,165.0,3.5,Other
Stanford University,MS,True,3.8,154.0,170.0,3.5,Other
Stanford University,MS,True,3.2,159.0,165.0,3.0,International with US Degree
Stanford University,MS,True,3.8,157.0,167.0,3.5,International with US Degree
Stanford University,PhD,True,3.95,159.0,161.0,3.5,American
Stanford University,PhD,True,3.8,161.0,170.0,3.5,International
Stanford University,MS,False,3.78,169.0,155.0,5.0,American
Stanford University,MS,False,3.95,162.0,168.0,3.0,International
Stanford University,MS,False,3.98,169.0,162.0,4.5,American
Stanford University,MS,False,3.75,163.0,165.0,3.5,American
Stanford University,MS,False,3.18,155.0,164.0,4.5,American
Stanford University,MS,False,3.88,164.0,168.0,5.0,International
Stanford University,MS,True,4.0,161.0,166.0,4.5,International
Stanford University,MS,True,3.6,155.0,163.0,4.0,International
Stanford University,MS,True,3.91,166.0,169.0,4.5,International
Stanford University,MS,False,3.33,167.0,170.0,5.5,American
Stanford University,MS,True,3.76,150.0,170.0,3.0,International
Stanford University,MS,True,3.76,170.0,150.0,3.0,International
Stanford University,MS,False,3.3,168.0,166.0,5.0,American
Stanford University,MS,True,3.85,164.0,162.0,4.5,American
Stanford University,MS,False,3.0,157.0,163.0,4.0,American
Stanford University,MS,False,3.6,165.0,165.0,5.5,International
Stanford University,MS,True,3.7,164.0,155.0,4.0,American
Stanford University,PhD,False,3.27,152.0,166.0,3.5,International
Stanford University,PhD,True,4.0,169.0,170.0,5.5,International
Stanford University,PhD,False,3.43,165.0,165.0,5.0,American
Stanford University,MS,False,2.79,152.0,157.0,4.0,International with US Degree
Stanford University,MS,False,3.72,156.0,161.0,3.5,American
Stanford University,MS,True,3.97,170.0,163.0,5.5,American
Stanford University,PhD,False,4.0,157.0,169.0,3.5,International
Stanford University,PhD,False,3.88,164.0,163.0,4.5,International
Stanford University,MS,False,3.59,160.0,166.0,3.5,American
Stanford University,MS,True,3.83,161.0,162.0,4.5,International with US Degree
Stanford University,MS,True,3.74,152.0,168.0,4.0,International
Stanford University,MS,True,3.75,157.0,168.0,3.5,International
Stanford University,MS,True,3.93,169.0,154.0,5.5,American
Stanford University,MS,False,3.86,160.0,165.0,4.5,International
Stanford University,MS,True,4.0,159.0,166.0,4.0,International
Stanford University,PhD,False,3.69,169.0,157.0,4.0,American
Stanford University,MS,False,3.25,160.0,169.0,5.0,American
Stanford University,MS,False,3.7,160.0,166.0,4.5,International with US Degree
Stanford University,MS,False,3.7,166.0,160.0,4.5,International with US Degree
Stanford University,MS,True,3.81,163.0,165.0,5.0,International with US Degree
Stanford University,PhD,False,3.2,167.0,165.0,4.0,International with US Degree
Stanford University,MS,True,3.89,157.0,165.0,4.5,International with US Degree
Stanford University,PhD,False,4.0,152.0,170.0,4.0,International
Stanford University,MS,False,3.85,158.0,169.0,3.5,International
Stanford University,MS,True,3.96,157.0,169.0,3.0,International
Stanford University,MS,False,3.7,157.0,165.0,4.0,International
Stanford University,MS,True,3.97,150.0,170.0,3.5,International
Stanford University,MS,True,3.92,169.0,167.0,5.0,American
Stanford University,MS,True,3.73,161.0,170.0,3.5,International
Stanford University,PhD,False,3.85,170.0,169.0,5.0,American
Stanford University,MS,True,3.88,148.0,168.0,3.5,International
Stanford University,MS,False,3.7,166.0,166.0,5.0,International
Stanford University,PhD,False,4.0,157.0,165.0,3.0,International
Stanford University,PhD,False,3.8,166.0,170.0,4.5,American
Stanford University,PhD,False,3.96,170.0,170.0,5.5,American
Stanford University,PhD,False,3.95,164.0,164.0,4.5,American
Stanford University,PhD,False,3.87,170.0,169.0,5.5,International with US Degree
Stanford University,PhD,False,3.7,160.0,170.0,6.0,American
Stanford University,PhD,False,3.5,168.0,165.0,5.0,American
Stanford University,PhD,False,3.4,166.0,169.0,5.5,American
Stanford University,PhD,True,3.69,152.0,169.0,3.0,International
Stanford University,PhD,True,3.7,165.0,165.0,4.5,American
Stanford University,PhD,False,3.72,156.0,170.0,5.0,International
Stanford University,PhD,False,3.6,157.0,161.0,4.5,American
Stanford University,PhD,False,3.61,167.0,169.0,5.5,American
Stanford University,MS,True,3.77,154.0,160.0,4.0,International
Stanford University,MS,True,3.53,165.0,170.0,4.5,American
Stanford University,PhD,False,3.93,168.0,160.0,5.0,American
Stanford University,MS,False,3.96,150.0,168.0,3.5,International with US Degree
Stanford University,MS,True,3.7,165.0,165.0,4.5,American
Stanford University,MS,False,3.8,150.0,170.0,3.5,International
Stanford University,PhD,False,3.96,161.0,166.0,4.0,American
Stanford University,PhD,False,3.9,170.0,161.0,4.0,International
Stanford University,MS,False,3.92,153.0,168.0,3.5,International with US Degree
Stanford University,PhD,False,3.4,159.0,165.0,3.5,International
Stanford University,MS,False,3.65,154.0,169.0,3.5,International
Stanford University,PhD,False,3.6,154.0,167.0,3.5,International
Stanford University,MS,False,3.83,169.0,155.0,3.5,International with US Degree
Stanford University,PhD,False,3.3,152.0,169.0,4.0,International
Stanford University,MS,True,3.61,160.0,166.0,4.0,American
Stanford University,PhD,False,3.97,165.0,170.0,4.0,American
